inchi,name,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,number_of_atoms,zero_point_correction,C_APT_charge,C_ES_root_Mulliken_charge,C_ES_root_NPA_Rydberg,C_ES_root_NPA_charge,C_ES_root_NPA_core,C_ES_root_NPA_total,C_ES_root_NPA_valence,C_Mulliken_charge,C_NMR_anisotropy,C_NMR_shift,C_NPA_Rydberg,C_NPA_charge,C_NPA_core,C_NPA_total,C_NPA_valence,C_VBur,O_APT_charge,O_ES_root_Mulliken_charge,O_ES_root_NPA_Rydberg,O_ES_root_NPA_charge,O_ES_root_NPA_core,O_ES_root_NPA_total,O_ES_root_NPA_valence,O_Mulliken_charge,O_NMR_anisotropy,O_NMR_shift,O_NPA_Rydberg,O_NPA_charge,O_NPA_core,O_NPA_total,O_NPA_valence,O_VBur,order,ring_size,C_angle,OC_length,OC_L,OC_B1,OC_B5,C_PVBur
"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",1y,-466.7754218,2.832141903,2714.049856,1680.554374,-467.0467945,0.274171463,-466.7892794,-466.83049,0.2191035,-466.7744778,0.275115695,1.958418354,0.124324805,2801.536266,0.16418449,-0.288509296,0.039859685,154.2516,1618.128515,29,0.260314266,0.56526979,0.212624971,0.023414607,0.202464644,1.999169627,5.797535356,3.77495036,0.201934654,38.28860887,108.465565,0.021853473,0.197419693,1.999182316,5.802580307,3.78154057,0.721295721,-0.778759983,-0.488606695,0.014109047,-0.725840748,1.999820215,8.725840748,6.711911825,-0.50039668,81.39402358,260.4048558,0.014143216,-0.733442995,1.999820434,8.733442995,6.719476832,0.506348155,tertiary,0,109.8366667,1.422985905,5.932293608,2.977827763,7.877281438,0.537411169
"InChI=1S/C10H20O/c1-3-5-6-7-8-9-10(11)4-2/h4,10-11H,2-3,5-9H2,1H3",1x,-467.9636713,3.484395153,4006.094072,1697.647151,-468.2609464,0.299697924,-467.9778247,-468.0202133,0.243155651,-467.9627269,0.300641971,1.832159116,0.144467212,4024.747768,0.181531554,-0.325998766,0.037064341,156.2674,1765.625435,31,0.285544349,0.613514187,0.029038137,0.026770434,0.039030168,1.999140315,5.960969832,3.935059777,0.038921425,32.5669107,105.951074,0.021644904,0.056994975,1.999189536,5.943005025,3.922173275,0.608708389,-0.795129958,-0.29403973,0.013150193,-0.544574411,1.99983201,8.544574411,6.531590449,-0.501526711,65.85635984,268.4503453,0.012126584,-0.725689541,1.999831448,8.725689541,6.713733849,0.423733535,secondary,0,111.8,1.424647865,7.040828103,2.307325325,8.94857891,0.456232747
"InChI=1S/C8H12O5/c1-4(9)13-6-3-12-7-5(10)2-11-8(6)7/h5-8,10H,2-3H2,1H3/t5-,6+,7-,8-/m1/s1",1n,-687.9802634,1.687522946,2618.574911,1589.722047,-688.1918346,0.218451025,-687.9922179,-688.0313442,0.167370154,-687.9793194,0.219395025,2.959444998,0.146299806,2652.787545,0.188680499,-0.334980306,0.042380693,188.1798,1466.174775,25,0.206496506,0.51354063,0.009564925,0.022327437,0.050297909,1.999192291,5.949702091,3.928177301,0.009225046,52.15612213,108.0499423,0.022301393,0.050434814,1.99919229,5.949565186,3.928067011,0.604857597,-0.759973291,-0.499641916,0.012524993,-0.708828014,1.999810845,8.708828014,6.696487742,-0.499618908,64.30659596,309.0593939,0.012523362,-0.708808593,1.999810845,8.708808593,6.696465231,0.406442573,secondary,5,101.35,1.40258293,7.525732892,2.095614508,7.523159445,0.461358483
"InChI=1S/C12H21NO3/c1-12(2,3)16-11(15)13-8-4-5-9(13)7-10(14)6-8/h8-10,14H,4-7H2,1-3H3/t8-,9+,10+",1q,-750.0132068,2.927465122,3923.457582,2106.994092,-750.3517402,0.344115728,-750.0291246,-750.0719433,0.285379415,-750.012262,0.345059728,3.756462799,0.125725682,4017.272981,0.173926649,-0.299652331,0.048200967,227.3028,1895.085196,37,0.328197107,0.595352639,0.102698091,0.021008165,0.089474567,1.999269958,5.910525433,3.890245506,0.096487962,59.65087275,116.0918167,0.019962943,0.090075751,1.999269948,5.909924249,3.890693163,0.642194833,-0.775182768,-0.503840201,0.012693427,-0.738435526,1.99982999,8.738435526,6.72591211,-0.502191603,91.12730093,259.2579379,0.01259292,-0.737184381,1.99982999,8.737184381,6.724769657,0.482189678,secondary,6,112.45,1.428146716,9.527847519,2.063533198,5.835960533,0.50554251
"InChI=1S/C11H16O/c1-11(2,12)9-8-10-6-4-3-5-7-10/h3-7,12H,8-9H2,1-2H3",1f,-503.7431874,1.817030405,2918.128351,1634.542308,-504.0009977,0.259595032,-503.7554186,-503.7945765,0.20820664,-503.7422431,0.260539278,1.772506315,0.139381715,2950.36066,0.158806809,-0.298188524,0.019425095,164.2468,1720.36372,28,0.24736381,0.650394399,0.186699895,0.01849421,0.243997628,1.999277853,5.756002372,3.738228802,0.187523967,54.89701336,112.515231,0.0181988,0.24375458,1.999280079,5.75624542,3.738766596,0.706847762,-0.814830904,-0.4969209,0.012765622,-0.739000891,1.999820079,8.739000891,6.726405444,-0.499337531,94.92813627,240.7334055,0.012741251,-0.741214041,1.999820079,8.741214041,6.728659666,0.472923243,tertiary,0,110.89,1.432164619,6.130723548,2.957822524,8.267952775,0.502975745
"InChI=1S/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3/b14-9+,15-11+",1w,-661.9592315,4.314840783,8603.59712,2452.721862,-662.3551108,0.400704878,-661.9799134,-662.0332894,0.326647008,-661.9582874,0.401649043,2.665386295,0.122416272,8850.584875,0.161277381,-0.283693653,0.038861109,222.3698,2367.330096,42,0.380022959,0.645372733,-0.084820179,0.028841816,-0.130058567,1.999258757,6.130058567,4.10196155,-0.074572349,59.16584418,123.6966331,0.021164508,-0.100193203,1.999249219,6.100193203,4.079782445,0.467312807,-0.796206301,-0.466679739,0.013826546,-0.719460697,1.999837588,8.719460697,6.705796141,-0.509043436,69.68581599,292.4598254,0.01201847,-0.722463008,1.99983,8.722463008,6.710611328,0.345573232,primary,0,110.975,1.426540314,8.472399923,1.785941296,13.17151617,0.344983939
"InChI=1S/C13H20N4O3/c1-9(18)6-4-5-7-17-12(19)10-11(14-8-15(10)2)16(3)13(17)20/h8-9,18H,4-7H2,1-3H3",1h,-951.7961461,5.185786975,8487.375171,2250.635058,-952.1504184,0.358916796,-951.8165906,-951.8679861,0.287076709,-951.7952019,0.359860796,5.657701156,0.14134402,8526.68339,0.138017651,-0.279361671,-0.003326368,280.326,2265.625318,40,0.338471696,0.627127286,0.057415253,0.018464675,0.100373262,1.999287051,5.899626738,3.881874761,0.057122189,47.46688231,113.353859,0.018509054,0.10035725,1.999288723,5.89964275,3.881845017,0.590022454,-0.783510597,-0.507640667,0.012824112,-0.732752638,1.999829999,8.732752638,6.720102485,-0.50741766,77.71427582,266.606359,0.012821879,-0.732592257,1.999829999,8.732592257,6.719941026,0.424619059,secondary,0,112.23,1.426145315,7.773128586,2.173931951,11.89549061,0.421294182
"InChI=1S/C10H14O/c1-9(11)7-8-10-5-3-2-4-6-10/h2-6,9,11H,7-8H2,1H3",1a,-464.4603504,1.934185297,2332.829173,1536.259237,-464.6892393,0.230607337,-464.4712538,-464.5089313,0.182026313,-464.4594063,0.231551506,1.931018009,0.14077815,2379.65982,0.158810428,-0.299588578,0.018032277,150.22,1440.738662,25,0.219703883,0.624026828,0.053370433,0.019050381,0.095286911,1.999282656,5.904713089,3.886381021,0.053876491,54.39555067,114.8675243,0.018291781,0.095867003,1.999286058,5.904132997,3.886555909,0.603757823,-0.796607046,-0.500093213,0.012619961,-0.73121985,1.99982887,8.73121985,6.718771019,-0.503069133,76.05527655,266.6320529,0.012509732,-0.733569461,1.99983,8.733569461,6.721234225,0.432912909,secondary,0,112.4,1.425939896,6.238932949,2.329305583,7.442458362,0.440820605
"InChI=1S/C9H12O2/c1-8(10)7-11-9-5-3-2-4-6-9/h2-6,8,10H,7H2,1H3",1aj,-500.3988944,2.170298916,2412.301297,1528.517157,-500.6027823,0.206409072,-500.4093964,-500.4461439,0.159158845,-500.3979504,0.207353072,2.163657635,0.134928819,2455.958848,0.15065103,-0.285579849,0.015722212,152.1926,1430.860435,23,0.195906557,0.620079382,0.052465064,0.019715949,0.074828939,1.999285179,5.925171061,3.906163199,0.053954031,45.3567504,115.9934981,0.019608301,0.077281217,1.999285423,5.922718783,3.903825058,0.571947311,-0.795753288,-0.503684502,0.012048315,-0.722746675,1.999829324,8.722746675,6.710868576,-0.509186466,42.90593101,282.6627132,0.012026414,-0.726278014,1.999829324,8.726278014,6.714422061,0.413390066,secondary,0,111.69,1.419084937,5.090265853,2.09616204,8.553206954,0.399023113
"InChI=1S/C12H20O6/c1-11(2)14-5-6(16-11)8-7(13)9-10(15-8)18-12(3,4)17-9/h6-10,13H,5H2,1-4H3/t6-,7-,8-,9-,10-/m1/s1",1m,-920.314405,3.905800434,5174.440492,1972.808164,-920.6417723,0.342357913,-920.331657,-920.376763,0.280000641,-920.313461,0.343302275,2.131001158,0.136827359,5305.048858,0.194028448,-0.330855807,0.057201089,260.2864,2287.921567,38,0.325106685,0.501402651,-0.042258071,0.042019659,-0.022462576,1.999066884,6.022462576,3.981376074,-0.022425389,50.09272411,108.1326648,0.022466294,0.06504523,1.999144298,5.93495477,3.913340913,0.671425476,-0.755501422,-0.026798972,0.025738365,-0.490201855,1.999833068,8.490201855,6.46463594,-0.489698991,52.16908205,307.0561892,0.012198374,-0.708172311,1.999810047,8.708172311,6.696163893,0.464464249,secondary,5,101.62,1.400076525,6.183242997,2.253161874,7.194004336,0.555551958
